Type: 1 GetPower 11 [0, 0, 255, 0, 0, 0, 0, 0] hex(['0xa5', '0x5b', '0x1', '0xb', '0x0', '0x0', '0xff', '0x0', '0x0', '0x0', '0x0', '0x0', '0xf5']), dec([165, 91, 1, 11, 0, 0, 255, 0, 0, 0, 0, 0, 245]) #151
Type: 1 ARC 20 [0, 0, 0, 0, 0, 0, 255, 255] hex(['0xa5', '0x5b', '0x1', '0x14', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0xff', '0xff', '0xed']), dec([165, 91, 1, 20, 0, 0, 0, 0, 0, 0, 255, 255, 237]) #153
Type: 1 GetARC 21 [0, 0, 255, 0, 0, 0, 255, 255] hex(['0xa5', '0x5b', '0x1', '0x15', '0x0', '0x0', '0xff', '0x0', '0x0', '0x0', '0xff', '0xff', '0xed']), dec([165, 91, 1, 21, 0, 0, 255, 0, 0, 0, 255, 255, 237]) #155
Type: 8 Beep 12 [15, 0, 0, 0, 0, 0, 0, 0] hex(['0xa5', '0x5b', '0x8', '0xc', '0xf', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0xdd']), dec([165, 91, 8, 12, 15, 0, 0, 0, 0, 0, 0, 0, 221]) #157
Type: 1 GetPower 11 [0, 0, 255, 0, 0, 0, 0, 0] hex(['0xa5', '0x5b', '0x1', '0xb', '0x0', '0x0', '0xff', '0x0', '0x0', '0x0', '0x0', '0x0', '0xf5']), dec([165, 91, 1, 11, 0, 0, 255, 0, 0, 0, 0, 0, 245]) #159
Type: 1 ARC 20 [0, 0, 0, 0, 0, 0, 255, 255] hex(['0xa5', '0x5b', '0x1', '0x14', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0xff', '0xff', '0xed']), dec([165, 91, 1, 20, 0, 0, 0, 0, 0, 0, 255, 255, 237]) #161
Type: 1 GetARC 21 [0, 0, 255, 0, 0, 0, 255, 255] hex(['0xa5', '0x5b', '0x1', '0x15', '0x0', '0x0', '0xff', '0x0', '0x0', '0x0', '0xff', '0xff', '0xed']), dec([165, 91, 1, 21, 0, 0, 255, 0, 0, 0, 255, 255, 237]) #163
Type: 8 Beep 12 [15, 0, 0, 0, 0, 0, 0, 0] hex(['0xa5', '0x5b', '0x8', '0xc', '0xf', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0xdd']), dec([165, 91, 8, 12, 15, 0, 0, 0, 0, 0, 0, 0, 221]) #165
Type: 1 GetPower 11 [0, 0, 255, 0, 0, 0, 0, 0] hex(['0xa5', '0x5b', '0x1', '0xb', '0x0', '0x0', '0xff', '0x0', '0x0', '0x0', '0x0', '0x0', '0xf5']), dec([165, 91, 1, 11, 0, 0, 255, 0, 0, 0, 0, 0, 245]) #167
Type: 1 ARC 20 [0, 0, 0, 0, 0, 0, 255, 255] hex(['0xa5', '0x5b', '0x1', '0x14', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0xff', '0xff', '0xed']), dec([165, 91, 1, 20, 0, 0, 0, 0, 0, 0, 255, 255, 237]) #169
Type: 1 GetARC 21 [0, 0, 255, 0, 0, 0, 255, 255] hex(['0xa5', '0x5b', '0x1', '0x15', '0x0', '0x0', '0xff', '0x0', '0x0', '0x0', '0xff', '0xff', '0xed']), dec([165, 91, 1, 21, 0, 0, 255, 0, 0, 0, 255, 255, 237]) #171
Type: 8 Beep 12 [15, 0, 0, 0, 0, 0, 0, 0] hex(['0xa5', '0x5b', '0x8', '0xc', '0xf', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0xdd']), dec([165, 91, 8, 12, 15, 0, 0, 0, 0, 0, 0, 0, 221]) #173
Type: 1 GetPower 11 [0, 0, 255, 0, 0, 0, 0, 0] hex(['0xa5', '0x5b', '0x1', '0xb', '0x0', '0x0', '0xff', '0x0', '0x0', '0x0', '0x0', '0x0', '0xf5']), dec([165, 91, 1, 11, 0, 0, 255, 0, 0, 0, 0, 0, 245]) #175
Type: 1 ARC 20 [0, 0, 0, 0, 0, 0, 255, 255] hex(['0xa5', '0x5b', '0x1', '0x14', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0xff', '0xff', '0xed']), dec([165, 91, 1, 20, 0, 0, 0, 0, 0, 0, 255, 255, 237]) #177
Type: 1 GetARC 21 [0, 0, 255, 0, 0, 0, 255, 255] hex(['0xa5', '0x5b', '0x1', '0x15', '0x0', '0x0', '0xff', '0x0', '0x0', '0x0', '0xff', '0xff', '0xed']), dec([165, 91, 1, 21, 0, 0, 255, 0, 0, 0, 255, 255, 237]) #179
Type: 8 Beep 12 [15, 0, 0, 0, 0, 0, 0, 0] hex(['0xa5', '0x5b', '0x8', '0xc', '0xf', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0xdd']), dec([165, 91, 8, 12, 15, 0, 0, 0, 0, 0, 0, 0, 221]) #181
Type: 1 GetPower 11 [0, 0, 255, 0, 0, 0, 0, 0] hex(['0xa5', '0x5b', '0x1', '0xb', '0x0', '0x0', '0xff', '0x0', '0x0', '0x0', '0x0', '0x0', '0xf5']), dec([165, 91, 1, 11, 0, 0, 255, 0, 0, 0, 0, 0, 245]) #183
